# 3a14bf65-9e14-4feb-ac86-14e67b3ec37e
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2452319; -14.0492400; 3.1147950; 0.0021880; 6.1755785; -12.5217699
0.1993789; 0.2399146; -14.2497676; 3.1154403; 0.0043113; 5.7571362; -12.3006848
0.3987578; 0.2347896; -14.4497271; 3.1166537; 0.0094059; 5.3140966; -11.9943459
0.5981367; 0.2300918; -14.6481363; 3.1195456; 0.0202945; 4.8432204; -11.9943205
0.7975156; 0.2259616; -14.8498360; 3.1216844; -0.0061594; 4.3213372; -12.1217986
0.9968945; 0.2216213; -15.0498059; 3.1178085; -0.0112532; 3.7202545; -11.7212623
1.1962734; 0.2170528; -15.2473609; 3.1197243; -0.0504623; 3.0275979; -9.1856643
1.3956523; 0.2073281; -15.4460780; 3.0424980; -0.5314260; 2.3459526; -5.5999434
1.5950312; 0.1962136; -15.6428288; -3.0307771; 1.9769745; 1.8084448; -0.0650641
1.7944101; 0.2082600; -15.8475671; -3.0703613; 3.6985350; 1.8012573; -0.0650641
1.9937890; 0.3391305; -15.9418286; -1.6014529; 0.9425115; 1.7940410; 5.2354562
2.1931679; 0.5441215; -15.9654886; -1.7575396; 0.8840490; 2.3035325; 5.1935910
2.3925467; 0.7394592; -15.9749541; -1.5340556; 0.1324303; 2.7161088; 5.1520606
2.5919256; 0.9405259; -15.9729879; -1.5953236; -0.2176331; 3.0711026; 5.1108622
2.7913045; 1.1393214; -15.9795115; -1.6044905; 0.0033056; 3.3866897; 5.0699933
2.9906834; 1.3400344; -15.9863907; -1.6063464; -0.0155986; 3.6730596; 5.0294512
3.1900623; 1.5397104; -15.9937671; -1.6089252; -0.0104360; 3.9366102; 4.9892333
3.3894412; 1.7384602; -16.0015396; -1.6107786; -0.0083817; 4.1816737; 4.9493370
3.5888201; 1.9374589; -16.0096535; -1.6122392; -0.0061270; 4.4113469; 4.9097597
3.7881990; 2.1370716; -16.0180372; -1.6132270; -0.0038386; 4.6279355; 4.8704989
3.9875779; 2.3363291; -16.0265603; -1.6137997; -0.0019379; 4.8332118; 4.8315521
4.1869568; 2.5350891; -16.0351409; -1.6140330; -0.0004819; 5.0285739; 4.7929167
4.3863357; 2.7345166; -16.0437700; -1.6140059; 0.0006460; 5.2151479; 4.7545902
4.5857146; 2.9341121; -16.0523814; -1.6137954; 0.0014501; 5.3938574; 4.7165702
4.7850935; 3.1328272; -16.0608992; -1.6134600; 0.0018857; 5.5654710; 4.6788543
4.9844724; 3.3322316; -16.0693717; -1.6130504; 0.0021409; 5.7306367; 4.6414399
5.1838513; 3.5317138; -16.0777625; -1.6126170; 0.0022016; 5.8899072; 4.6043247
5.3832302; 3.7306153; -16.0860422; -1.6121844; 0.0021271; 6.0437585; 4.5675063
5.5826091; 3.9300664; -16.0942600; -1.6117720; 0.0019240; 6.1926041; 4.5309824
5.7819880; 4.1293208; -16.1023939; -1.6114337; 0.0014734; 6.3368060; 4.4947505
5.9813669; 4.3284710; -16.1104628; -1.6111404; 0.0016244; 6.4766834; 4.4588083
6.1807458; 4.5279048; -16.1184785; -1.6107875; 0.0014885; 6.6125193; 4.4231535
6.3801247; 4.7270352; -16.1264362; -1.6107853; -0.0014577; 6.7445666; 4.3877838
6.5795036; 4.9263472; -16.1344448; -1.6109796; 0.0026368; 6.8730519; 4.3526970
6.7788825; 5.1256324; -16.1423401; -1.6094844; 0.0123658; 6.9981793; 4.3178908
6.9782613; 5.3250674; -16.1498663; -1.6079028; 0.0025365; 7.1201339; 4.2833628
7.1776402; 5.5243294; -16.1572815; -1.6083124; -0.0034730; 7.2390835; 4.2491110
7.3770191; 5.7235041; -16.1648063; -1.6087033; -0.0004340; 7.3551816; 4.2151331
7.5763980; 5.9228579; -16.1723660; -1.6086988; -0.0001876; 7.4685684; 4.1814269
7.7757769; 6.1219241; -16.1799226; -1.6087958; -0.0006428; 7.5793727; 4.1479902
7.9751558; 6.3212303; -16.1875105; -1.6088927; -0.0003276; 7.6877132; 4.1148208
8.1745347; 6.5204996; -16.1951104; -1.6089372; -0.0001857; 7.7936994; 4.0819168
8.3739136; 6.7195554; -16.2027097; -1.6089707; -0.0001473; 7.8974329; 4.0492758
8.5732925; 6.9189197; -16.2103264; -1.6089918; -0.0000640; 7.9990079; 4.0168958
8.7726714; 7.1181417; -16.2179403; -1.6089972; 0.0000011; 8.0985119; 3.9847748
8.9720503; 7.3172329; -16.2255491; -1.6089922; 0.0000489; 8.1960268; 3.9529106
9.1714292; 7.5165907; -16.2331663; -1.6089795; 0.0000785; 8.2916289; 3.9213013
9.3708081; 7.7157937; -16.2407744; -1.6089607; 0.0001115; 8.3853896; 3.8899447
9.5701870; 7.9149502; -16.2483763; -1.6089348; 0.0001489; 8.4773761; 3.8588388
9.7695659; 8.1142566; -16.2559785; -1.6089100; 0.0000908; 8.5676512; 3.8279817
9.9689448; 8.3134566; -16.2635730; -1.6088936; 0.0001534; 8.6562743; 3.7973713
10.1683237; 8.5126524; -16.2711606; -1.6088363; 0.0004222; 8.7433012; 3.7670057
10.3677026; 8.7119231; -16.2787400; -1.6088234; -0.0004446; 8.8287847; 3.7368829
10.5670815; 8.9111279; -16.2863333; -1.6089570; 0.0002101; 8.9127745; 3.7070010
10.7664604; 9.1103467; -16.2939097; -1.6085334; 0.0040417; 8.9953180; 3.6773580
10.9658393; 9.3095953; -16.3013965; -1.6086082; -0.0073338; 9.0764597; 3.6479521
11.1652182; 9.5087986; -16.3091593; -1.6108206; -0.0000592; 9.1562421; 3.6187814
11.3645971; 9.7080263; -16.3167821; -1.6054713; 0.0537076; 9.2347056; 3.5898438
11.5639759; 9.9072990; -16.3226418; -1.5963474; 0.0209173; 9.3118884; 3.5611377
11.7633548; 10.1066215; -16.3276652; -1.5969652; -0.0131071; 9.3878270; 3.5326612
11.9627337; 10.3059274; -16.3330475; -1.5981488; 0.0012280; 9.4625564; 3.5044123
12.1621126; 10.5051992; -16.3384361; -1.5975638; 0.0014584; 9.5361095; 3.4763893
12.3614915; 10.7045200; -16.3437688; -1.5976272; -0.0011653; 9.6085182; 3.4485905
12.5608704; 10.9038234; -16.3491342; -1.5977606; -0.0001740; 9.6798127; -9.1626427
12.7602493; 11.1030828; -16.3545087; -1.5977665; -0.0001345; 9.4892096; -13.6661776
12.9596282; 11.3024253; -16.3598910; -1.5978214; -0.0003577; 9.1975869; -13.5634831
13.1590071; 11.5017097; -16.3652847; -1.5978879; -0.0003093; 8.8987111; -13.4579869
13.3583860; 11.7009636; -16.3706901; -1.5979476; -0.0003031; 8.5918905; -13.3517561
13.5577649; 11.9003378; -16.3761108; -1.5980094; -0.0003188; 8.2762592; -13.2455372
13.7571438; 12.0995751; -16.3815406; -1.5980761; -0.0003502; 7.9507675; -13.1455505
13.9565227; 12.2988541; -16.3869851; -1.5981435; -0.0002933; 7.6139880; -13.0474421
14.1559016; 12.4982702; -16.3924451; -1.5981913; -0.0002043; 7.2642993; -12.9378219
14.3552805; 12.6973978; -16.3979066; -1.5982472; -0.0003559; 6.9000716; -12.8404679
14.5546594; 12.8966798; -16.4033861; -1.5983208; -0.0002735; 6.5184930; -12.7497488
