# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.9100,-10.6300,0.8201,0.8201
-4.9600,-10.6800,0.8139,0.8139
-4.9600,-10.7300,0.8201,0.8201
-5.0100,-10.7800,0.8078,0.8078
-5.0600,-10.8300,0.7826,0.7826
-5.0600,-10.8800,0.8062,0.8062
-5.1100,-10.9300,0.7762,0.7762
-5.1100,-10.9800,0.7906,0.7906
-5.1100,-11.0300,0.7906,0.7906
-5.1600,-11.0800,0.7826,0.7826
-5.1600,-11.1300,0.7826,0.7826
-5.1600,-11.1800,0.7616,0.7616
-5.2100,-11.2300,0.7906,0.7906
-5.2100,-11.2800,0.7762,0.7762
-5.2100,-11.3300,0.7649,0.7649
-5.2600,-11.3800,0.8062,0.8062
-5.2600,-11.4300,0.7906,0.7906
-5.2600,-11.4800,0.7762,0.7762
-5.2600,-11.5300,0.7616,0.7616
-5.2600,-11.5800,0.7433,0.7433
-5.3100,-11.6300,0.7762,0.7762
-5.3100,-11.6800,0.7649,0.7649
-5.3100,-11.7300,0.7566,0.7566
-5.3100,-11.7800,0.7517,0.7517
-5.3100,-11.8300,0.7500,0.7500
-5.3100,-11.8800,0.7500,0.7500
-5.3100,-11.9300,0.7500,0.7500
-5.3100,-11.9800,0.7500,0.7500
-5.3100,-12.0300,0.7500,0.7500
-5.3100,-12.0800,0.7500,0.7500
-5.3100,-12.1300,0.7500,0.7500
-5.3100,-12.1800,0.7517,0.7517
-5.2600,-12.2300,0.7071,0.7071
-5.2600,-12.2800,0.7159,0.7159
-5.2600,-12.3300,0.7280,0.7280
-5.2600,-12.3800,0.7433,0.7433
-5.2600,-12.4300,0.7616,0.7616
-5.2600,-12.4800,0.7826,0.7826
-5.2600,-12.5300,0.7762,0.7762
-5.2600,-12.5800,0.7616,0.7616
-5.2100,-12.6300,0.7906,0.7906
-5.2100,-12.6800,0.7762,0.7762
-5.2100,-12.7300,0.7649,0.7649
-5.1600,-12.7800,0.8062,0.8062
-5.1100,-12.8300,0.8382,0.8382
-5.0600,-12.8800,0.8139,0.8139
-5.0100,-12.9300,0.7762,0.7762
-4.9600,-12.9300,0.7906,0.7906
-4.9100,-12.9800,0.7500,0.7500
-4.8600,-12.9800,0.7500,0.7500
-4.8100,-13.0300,0.7000,0.7000
-4.7600,-13.0300,0.7018,0.7018
-4.7100,-13.0300,0.7071,0.7071
-4.6600,-13.0300,0.7159,0.7159
-4.6100,-13.0300,0.7071,0.7071
-4.5600,-13.0300,0.7018,0.7018
-4.5100,-13.0300,0.7000,0.7000
-4.4600,-13.0300,0.6964,0.6964
-4.4100,-13.0300,0.6801,0.6801
-4.3600,-13.0300,0.6671,0.6671
-4.3100,-13.0300,0.6576,0.6576
-4.2600,-13.0300,0.6519,0.6519
-4.2100,-13.0300,0.6500,0.6500
-4.1600,-13.0300,0.6500,0.6500
-4.1100,-13.0300,0.6500,0.6500
-4.0600,-13.0300,0.6500,0.6500
-4.0100,-13.0300,0.6500,0.6500
-3.9600,-13.0300,0.6500,0.6500
-3.9100,-13.0300,0.6500,0.6500
-3.8600,-13.0300,0.6500,0.6500
-3.8100,-13.0300,0.6500,0.6500
-3.7600,-13.0300,0.6500,0.6500
