# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.7900,2.9900,0.8766,0.8766
-1.7900,2.9700,0.8768,0.8768
-1.8100,2.9500,0.8768,0.8768
-1.8300,2.9300,0.8768,0.8768
-1.8500,2.9100,0.8713,0.8713
-1.8700,2.8900,0.8653,0.8653
-1.8700,2.8700,0.8628,0.8628
-1.8900,2.8500,0.8602,0.8602
-1.9100,2.8300,0.8560,0.8560
-1.9300,2.8100,0.8528,0.8528
-1.9500,2.7900,0.8504,0.8504
-1.9700,2.7900,0.8490,0.8490
-1.9900,2.7700,0.8485,0.8485
-2.0100,2.7500,0.8490,0.8490
-2.0300,2.7300,0.8504,0.8504
-2.0500,2.7100,0.8528,0.8528
-2.0700,2.6900,0.8504,0.8504
-2.0900,2.6700,0.8490,0.8490
-2.1100,2.6500,0.8485,0.8485
-2.1300,2.6500,0.8544,0.8544
-2.1500,2.6300,0.8602,0.8602
-2.1700,2.6100,0.8653,0.8653
-2.1900,2.5900,0.8683,0.8683
-2.2100,2.5900,0.8609,0.8609
-2.2300,2.5700,0.8683,0.8683
-2.2500,2.5500,0.8766,0.8766
-2.2700,2.5300,0.8857,0.8857
-2.2900,2.5100,0.8955,0.8955
-2.3100,2.5100,0.8877,0.8877
-2.3300,2.4900,0.8989,0.8989
-2.3500,2.4900,0.8920,0.8920
-2.3700,2.4700,0.9044,0.9044
-2.3700,2.4500,0.9220,0.9220
-2.3700,2.4300,0.9304,0.9304
-2.3900,2.4100,0.9141,0.9141
-2.3900,2.3900,0.9178,0.9178
-2.4100,2.3700,0.9024,0.9024
-2.4100,2.3500,0.9071,0.9071
-2.4300,2.3300,0.8929,0.8929
-2.4300,2.3100,0.8984,0.8984
-2.4500,2.2900,0.8854,0.8854
-2.4500,2.2700,0.8881,0.8881
-2.4700,2.2500,0.8713,0.8713
-2.4700,2.2300,0.8748,0.8748
-2.4700,2.2100,0.8786,0.8786
-2.4700,2.1900,0.8829,0.8829
-2.4900,2.1700,0.8658,0.8658
-2.4900,2.1500,0.8683,0.8683
-2.4900,2.1300,0.8713,0.8713
-2.4900,2.1100,0.8748,0.8748
-2.5100,2.0900,0.8591,0.8591
-2.5100,2.0700,0.8635,0.8635
-2.5100,2.0500,0.8683,0.8683
-2.5300,2.0300,0.8516,0.8516
-2.5300,2.0100,0.8551,0.8551
-2.5300,1.9900,0.8591,0.8591
-2.5300,1.9700,0.8609,0.8609
-2.5500,1.9500,0.8421,0.8421
-2.5500,1.9300,0.8438,0.8438
-2.5500,1.9100,0.8459,0.8459
-2.5500,1.8900,0.8485,0.8485
-2.5500,1.8700,0.8516,0.8516
-2.5500,1.8500,0.8551,0.8551
-2.5500,1.8300,0.8544,0.8544
-2.5500,1.8100,0.8490,0.8490
-2.5500,1.7900,0.8440,0.8440
-2.5700,1.7700,0.8400,0.8400
-2.5700,1.7500,0.8400,0.8400
-2.5700,1.7300,0.8400,0.8400
-2.5700,1.7100,0.8400,0.8400
-2.5700,1.6900,0.8400,0.8400
-2.5700,1.6700,0.8400,0.8400
-2.5700,1.6500,0.8400,0.8400
-2.5700,1.6300,0.8400,0.8400
-2.5900,1.6100,0.8200,0.8200
-2.5900,1.5900,0.8200,0.8200
-2.5900,1.5700,0.8200,0.8200
-2.5900,1.5500,0.8200,0.8200
-2.5900,1.5300,0.8200,0.8200
-2.5900,1.5100,0.8200,0.8200
-2.5900,1.4900,0.8200,0.8200
-2.5900,1.4700,0.8200,0.8200
-2.5900,1.4500,0.8202,0.8202
