# x_m,y_m,w_tr_right_m,w_tr_left_m
1.9935,-17.5208,1.3000,1.3000
1.9935,-17.5708,1.3000,1.3000
1.9935,-17.6208,1.3000,1.3000
1.9935,-17.6708,1.3000,1.3000
1.9935,-17.7208,1.3000,1.3000
1.9935,-17.7708,1.3000,1.3000
1.9935,-17.8208,1.2981,1.2981
2.0435,-17.8708,1.2500,1.2500
2.0435,-17.9208,1.2500,1.2500
2.0435,-17.9708,1.2510,1.2510
2.0435,-18.0208,1.2540,1.2540
2.0435,-18.0708,1.2590,1.2590
2.0435,-18.1208,1.2659,1.2659
2.0435,-18.1708,1.2748,1.2748
2.0435,-18.2208,1.2659,1.2659
2.0435,-18.2708,1.2590,1.2590
2.0435,-18.3208,1.2540,1.2540
2.0435,-18.3708,1.2500,1.2500
2.0935,-18.4208,1.2510,1.2510
2.0935,-18.4708,1.2540,1.2540
2.0935,-18.5208,1.2590,1.2590
2.0935,-18.5708,1.2500,1.2500
2.1435,-18.6208,1.2258,1.2258
2.1435,-18.6708,1.2369,1.2369
2.1435,-18.7208,1.2500,1.2500
2.1435,-18.7708,1.2500,1.2500
2.1435,-18.8208,1.2369,1.2369
2.1935,-18.8708,1.2042,1.2042
2.1935,-18.9208,1.2093,1.2093
2.1935,-18.9708,1.2166,1.2166
2.1935,-19.0208,1.2258,1.2258
2.1935,-19.0708,1.2176,1.2176
2.1935,-19.1208,1.2021,1.2021
2.1935,-19.1708,1.1885,1.1885
2.2435,-19.2208,1.2093,1.2093
2.2435,-19.2708,1.2166,1.2166
2.2435,-19.3208,1.2021,1.2021
2.2435,-19.3708,1.1885,1.1885
2.2435,-19.4208,1.1769,1.1769
2.2435,-19.4708,1.1673,1.1673
2.2935,-19.5208,1.2093,1.2093
2.2935,-19.5708,1.2042,1.2042
2.2935,-19.6208,1.2010,1.2010
2.2935,-19.6708,1.1885,1.1885
2.2935,-19.7208,1.1769,1.1769
2.2935,-19.7708,1.1673,1.1673
2.3435,-19.8208,1.2093,1.2093
2.3435,-19.8708,1.2042,1.2042
2.3435,-19.9208,1.2010,1.2010
2.3435,-19.9708,1.2000,1.2000
2.3935,-20.0208,1.2369,1.2369
2.3935,-20.0708,1.2258,1.2258
2.3935,-20.1208,1.2166,1.2166
2.3935,-20.1708,1.2093,1.2093
2.3935,-20.2208,1.2042,1.2042
2.3935,-20.2708,1.2010,1.2010
2.3935,-20.3208,1.2000,1.2000
2.3935,-20.3708,1.2000,1.2000
2.4435,-20.4208,1.2500,1.2500
2.4435,-20.4708,1.2500,1.2500
2.4435,-20.5208,1.2500,1.2500
2.4435,-20.5708,1.2500,1.2500
2.4435,-20.6208,1.2500,1.2500
2.4435,-20.6708,1.2500,1.2500
2.4435,-20.7208,1.2500,1.2500
2.4935,-20.7708,1.3010,1.3010
2.4935,-20.8208,1.3038,1.3038
2.4935,-20.8708,1.3086,1.3086
2.4935,-20.9208,1.3153,1.3153
2.4935,-20.9708,1.3238,1.3238
2.4935,-21.0208,1.3342,1.3342
2.4935,-21.0708,1.3463,1.3463
2.5435,-21.1208,1.4009,1.4009
2.5435,-21.1708,1.4036,1.4036
2.5435,-21.2208,1.4080,1.4080
2.5435,-21.2708,1.4142,1.4142
2.5435,-21.3208,1.4221,1.4221
2.5435,-21.3708,1.4318,1.4318
2.5435,-21.4208,1.4431,1.4431
2.5435,-21.4708,1.4500,1.4500
2.5435,-21.5208,1.4500,1.4500
2.5435,-21.5708,1.4500,1.4500
2.5935,-21.6208,1.5000,1.5000
2.5935,-21.6708,1.5000,1.5000
2.5935,-21.7208,1.5000,1.5000
2.5935,-21.7708,1.5000,1.5000
2.5935,-21.8208,1.5000,1.5000
2.5935,-21.8708,1.5000,1.5000
2.5935,-21.9208,1.5000,1.5000
2.5935,-21.9708,1.5000,1.5000
2.6435,-22.0208,1.5500,1.5500
2.6435,-22.0708,1.5500,1.5500
2.6435,-22.1208,1.5500,1.5500
2.6935,-22.1708,1.6000,1.6000
2.6935,-22.2208,1.6000,1.6000
2.6935,-22.2708,1.6000,1.6000
2.7435,-22.3208,1.6500,1.6500
2.7435,-22.3708,1.6500,1.6500
2.7435,-22.4208,1.6492,1.6492
2.7435,-22.4708,1.6378,1.6378
2.7935,-22.5208,1.6771,1.6771
2.7935,-22.5708,1.6688,1.6688
2.8435,-22.6208,1.7117,1.7117
2.8435,-22.6708,1.7066,1.7066
2.8435,-22.7208,1.7029,1.7029
2.8935,-22.7708,1.7464,1.7464
2.8935,-22.8208,1.7357,1.7357
2.8935,-22.8708,1.7263,1.7263
2.8935,-22.9208,1.7183,1.7183
2.9435,-22.9708,1.7586,1.7586
2.9935,-23.0208,1.7951,1.7951
2.9935,-23.0708,1.7847,1.7847
3.0435,-23.1208,1.8248,1.8248
3.0435,-23.1708,1.8173,1.8173
3.0435,-23.2208,1.8069,1.8069
3.0935,-23.2708,1.8439,1.8439
3.1435,-23.3208,1.8822,1.8822
3.1435,-23.3708,1.8668,1.8668
3.1935,-23.4208,1.8974,1.8974
3.2435,-23.4708,1.9300,1.9300
3.2435,-23.5208,1.9138,1.9138
3.2935,-23.5708,1.9294,1.9294
3.3435,-23.6208,1.9416,1.9416
3.3935,-23.6708,1.9449,1.9449
3.4435,-23.7208,1.9449,1.9449
3.4935,-23.7208,1.9474,1.9474
3.5435,-23.7708,1.9526,1.9526
3.5935,-23.8208,1.9602,1.9602
3.6435,-23.8708,1.9679,1.9679
3.6935,-23.8708,1.9416,1.9416
3.7435,-23.9208,1.9558,1.9558
3.7935,-23.9708,1.9300,1.9300
3.8435,-23.9708,1.9416,1.9416
3.8935,-23.9708,1.9235,1.9235
3.9435,-24.0208,1.9059,1.9059
3.9935,-24.0208,1.9105,1.9105
4.0435,-24.0208,1.9039,1.9039
4.0935,-24.0208,1.8848,1.8848
4.1435,-24.0208,1.8668,1.8668
4.1935,-24.0708,1.8927,1.8927
4.2435,-24.0708,1.8822,1.8822
4.2935,-24.0708,1.8682,1.8682
4.3435,-24.0708,1.8554,1.8554
4.3935,-24.0708,1.8439,1.8439
4.4435,-24.0708,1.8337,1.8337
4.4935,-24.0708,1.8248,1.8248
4.5435,-24.0708,1.8173,1.8173
4.5935,-24.1208,1.8608,1.8608
4.6435,-24.1208,1.8561,1.8561
4.6935,-24.1208,1.8527,1.8527
4.7435,-24.1208,1.8507,1.8507
4.7935,-24.1208,1.8500,1.8500
4.8435,-24.1208,1.8500,1.8500
4.8935,-24.1208,1.8500,1.8500
4.9435,-24.1208,1.8500,1.8500
4.9935,-24.1208,1.8507,1.8507
5.0435,-24.1208,1.8527,1.8527
5.0935,-24.1208,1.8561,1.8561
5.1435,-24.1208,1.8608,1.8608
