# d016071e-6e5e-4aee-bb29-97862bbdeee8
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-0.3595855; -14.0015378; 0.7402731; 0.8597269; -0.9969042; 0.0786263; -0.6066957; 0.0000000; 3.1147950; 0.0021880; 6.1755785; -12.5217699
-0.3846579; -14.3263471; 0.6745213; 0.8443429; -0.9973939; 0.0721484; -0.6230527; 0.3221705; 3.1166537; 0.0094059; 5.3140966; -11.9943459
-0.4042744; -14.6484197; 0.6956034; 0.8043966; -0.9989430; 0.0459655; -0.6343966; 0.6285388; 3.1195456; 0.0202945; 4.8432204; -11.9943205
-0.4117460; -14.9617746; 0.6882768; 0.8117232; -0.9999965; -0.0026517; -0.6354309; 0.9111073; 3.1178085; -0.0112532; 3.7202545; -11.7212623
-0.4003840; -15.2604311; 0.6996038; 0.8003962; -0.9968509; -0.0792989; -0.6201674; 1.1623384; 3.1197243; -0.0504623; 3.0275979; -9.1856643
-0.3634994; -15.5384083; 0.7364641; 0.7635359; -0.9815056; -0.1914336; -0.5834284; 1.3780215; 3.0424980; -0.5314260; 2.3459526; -5.5999434
-0.2944033; -15.7897256; 0.8091392; 0.6908608; -0.9373699; -0.3483357; -0.5208608; 1.5603387; -3.0307771; 1.9769745; 1.8084448; -0.0650641
-0.1864241; -16.0084157; 0.9353257; 0.6646743; -0.8408102; -0.5413300; -0.4695444; 1.7071190; -3.0703613; 3.6985350; 1.8012573; -0.0650641
-0.0364690; -16.1913856; 1.1527220; 0.5553136; -0.6998842; -0.7142564; -0.3853136; 1.8751745; -3.0703613; 3.6985350; 1.8012573; -0.0650641
0.1505914; -16.3419362; 1.1619284; 0.6622037; -0.5547658; -0.8320065; -0.4779559; 2.0629138; -1.6014529; 0.9425115; 1.7940410; 5.2354562
0.3688128; -16.4642307; 1.0123812; 0.7123475; -0.4272840; -0.9041175; -0.5423475; 2.2501943; -1.7575396; 0.8840490; 2.3035325; 5.1935910
0.6122505; -16.5624325; 0.9922538; 0.8077462; -0.3257692; -0.9454493; -0.6240592; 2.4653436; -1.5340556; 0.1324303; 2.7161088; 5.1520606
0.8749602; -16.6407048; 1.0116773; 0.8883227; -0.2495819; -0.9683537; -0.6860793; 2.6960530; -1.6044905; 0.0033056; 3.3866897; 5.0699933
1.1509974; -16.7032109; 0.9974020; 0.9025980; -0.1957395; -0.9806559; -0.7325980; 2.9443993; -1.6063464; -0.0155986; 3.6730596; 5.0294512
1.4351152; -16.7537023; 0.9463321; 0.9536679; -0.1551930; -0.9878842; -0.7686866; 3.2045888; -1.6089252; -0.0104360; 3.9366102; 4.9892333
1.7255451; -16.7938763; 0.9057290; 0.9942710; -0.1197046; -0.9928096; -0.7947346; 3.4710653; -1.6107786; -0.0083817; 4.1816737; 4.9493370
2.0216009; -16.8247914; 0.8749660; 1.0250340; -0.0888437; -0.9960456; -0.8118010; 3.7443467; -1.6132270; -0.0038386; 4.6279355; 4.8704989
2.3225968; -16.8475057; 0.8523552; 1.0476448; -0.0624257; -0.9980496; -0.8209310; 4.0247223; -1.6137997; -0.0019379; 4.8332118; 4.8315521
2.6278469; -16.8630775; 0.8368693; 1.0631307; -0.0401863; -0.9991922; -0.8231558; 4.3120729; -1.6140059; 0.0006460; 5.2151479; 4.7545902
2.9366654; -16.8725651; 0.8774462; 1.0225538; -0.0218973; -0.9997602; -0.8194985; 4.6060301; -1.6137954; 0.0014501; 5.3938574; 4.7165702
3.2483663; -16.8770265; 0.8729573; 1.0270741; -0.0073532; -0.9999730; -0.8109768; 4.9060230; -1.6130504; 0.0021409; 5.7306367; 4.6414399
3.5622639; -16.8775200; 0.9194541; 1.0745580; 0.0036150; -0.9999935; -0.7986059; 5.2113409; -1.6126170; 0.0022016; 5.8899072; 4.6043247
3.8776723; -16.8751038; 0.9248619; 1.0751381; 0.0111354; -0.9999380; -0.7834017; 5.5211785; -1.6117720; 0.0019240; 6.1926041; 4.5309824
4.1939056; -16.8708361; 0.9291020; 0.9708980; 0.0152989; -0.9998830; -0.7663846; 5.8346715; -1.6114337; 0.0014734; 6.3368060; 4.4947505
4.5102779; -16.8657751; 0.9341931; 0.9658069; 0.0161353; -0.9998698; -0.7485834; 6.1509471; -1.6107875; 0.0014885; 6.6125193; 4.4231535
4.8261035; -16.8609791; 0.9390107; 0.9609893; 0.0136959; -0.9999062; -0.7310408; 6.4690933; -1.6107853; -0.0014577; 6.7445666; 4.3877838
5.1406964; -16.8575061; 0.9527874; 0.8848191; 0.0077415; -0.9999700; -0.7148191; 6.7884175; -1.6094844; 0.0123658; 6.9981793; 4.3178908
5.4534186; -16.8563463; 0.9936523; 0.9063477; -0.0004427; -0.9999999; -0.7017052; 7.1072075; -1.6083124; -0.0034730; 7.2390835; 4.2491110
5.7641372; -16.8577677; 0.9922701; 0.9077299; -0.0085957; -0.9999631; -0.6912204; 7.4237820; -1.6087033; -0.0004340; 7.3551816; 4.2151331
6.0730233; -16.8616050; 0.9884185; 0.9115815; -0.0161869; -0.9998690; -0.6832101; 7.7380115; -1.6087958; -0.0006428; 7.5793727; 4.1479902
6.3802520; -16.8676866; 0.9823542; 0.9176458; -0.0233147; -0.9997282; -0.6775078; 8.0502030; -1.6088927; -0.0003276; 7.6877132; 4.1148208
6.6859982; -16.8758410; 0.9741609; 0.9258391; -0.0299267; -0.9995521; -0.6739445; 8.3605480; -1.6089707; -0.0001473; 7.8974329; 4.0492758
6.9904371; -16.8858969; 0.9641135; 0.9358865; -0.0360130; -0.9993513; -0.6723481; 8.6692564; -1.6089918; -0.0000640; 7.9990079; 4.0168958
7.2937438; -16.8976827; 0.9523521; 0.9476479; -0.0415548; -0.9991362; -0.6725442; 8.9765214; -1.6089922; 0.0000489; 8.1960268; 3.9529106
7.5960933; -16.9110270; 0.9889743; 0.9110257; -0.0465379; -0.9989165; -0.6743559; 9.2825297; -1.6089607; 0.0001115; 8.3853896; 3.8899447
7.8976608; -16.9257583; 0.9744178; 0.9255822; -0.0509495; -0.9987012; -0.6776045; 9.5874595; -1.6089348; 0.0001489; 8.4773761; 3.8588388
8.1986213; -16.9417053; 0.9793292; 0.8623623; -0.0547787; -0.9984985; -0.6821097; 9.8914823; -1.6088936; 0.0001534; 8.6562743; 3.7973713
8.4991498; -16.9586963; 0.9914286; 0.9085714; -0.0580168; -0.9983156; -0.6876896; 10.1947632; -1.6088363; 0.0004222; 8.7433012; 3.7670057
8.7994216; -16.9765601; 0.9735312; 0.9264688; -0.0606569; -0.9981587; -0.6941617; 10.4974621; -1.6089570; 0.0002101; 8.9127745; 3.7070010
