s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,normals_x,normals_y,track_width_left,track_width_right
0.0000000,-1.9700115,1.0679618,-2.9188218,1.2343028,3.1180262,-0.1949616,-0.9756089,-0.2195160,1.3820000,0.1000000
0.1979727,-1.9049931,0.8817887,-2.6971670,1.0541415,3.1056229,1.6395036,-0.9029026,-0.4298452,1.3546164,0.1284296
0.3959453,-1.8033112,0.7118563,-2.5152528,0.8046836,3.2084337,3.5101180,-0.8102755,-0.5860492,1.3788193,0.1234033
0.5939180,-1.6763005,0.5600005,-2.3833245,0.5398925,3.4181664,5.0656980,-0.7261514,-0.6875348,1.3876578,0.1093208
0.7918906,-1.5346458,0.4225955,-2.3097227,0.2362125,3.6999461,5.0254759,-0.6726464,-0.7399641,1.2406915,0.1571033
0.9898633,-1.3853353,0.2932608,-2.2588705,0.2659106,3.9597241,4.9855732,-0.6351582,-0.7723820,0.9708953,0.2448046
1.1878359,-1.2287815,0.1720339,-2.1983195,0.3336020,4.2015984,4.9459874,-0.5872152,-0.8094309,0.7263805,0.3471125
1.3858086,-1.0664471,0.0620091,-2.1356029,0.3064599,4.4285177,4.9067159,-0.5351293,-0.8447702,0.5746076,0.4653924
1.5837812,-0.8957538,-0.0391525,-2.0768093,0.2836828,4.6426889,4.8677561,-0.4847188,-0.8746701,0.4502853,0.5955308
1.7817539,-0.7185131,-0.1310096,-2.0214668,0.2692577,4.8458153,4.8291058,-0.4356795,-0.9001019,0.3521215,0.7353157
1.9797265,-0.5379824,-0.2126383,-1.9698974,0.2547855,5.0392447,4.7907623,-0.3884794,-0.9214574,0.3299602,0.9279368
2.1776992,-0.3531309,-0.2852025,-1.9202527,0.2437728,5.2240662,4.7527233,-0.3424288,-0.9395438,0.2844701,1.0641714
2.3756718,-0.1653078,-0.3486050,-1.8726469,0.2375730,5.4011745,4.4843434,-0.2972879,-0.9547879,0.2157235,1.1128841
2.5736445,0.0248608,-0.4029601,-1.8257359,0.2380576,5.5631143,4.0119155,-0.2521616,-0.9676851,0.1582347,1.1344236
2.7716171,0.2185751,-0.4485420,-1.7778843,0.2436455,5.7040985,3.4200945,-0.2056729,-0.9786208,0.1176433,1.1623567
2.9695898,0.4133546,-0.4844962,-1.7281092,0.2642188,5.8215900,2.3657544,-0.1566268,-0.9876579,0.1009785,1.1743227
3.1675624,0.6084051,-0.5100291,-1.6725724,0.3022710,5.9014930,0.7742051,-0.1014911,-0.9948365,0.1028794,1.1711054
3.3655351,0.8057653,-0.5240154,-1.6097588,0.3249969,5.9274077,-0.1230568,-0.0389551,-0.9992410,0.1472455,1.1662318
3.5635077,1.0027397,-0.5254647,-1.5472251,0.3050695,5.9232962,-1.8002679,0.0233477,-0.9997274,0.2508527,1.1350860
3.7614804,1.2000057,-0.5150507,-1.4893581,0.2901735,5.8628176,-2.6927127,0.0815397,-0.9966701,0.2560114,1.0542811
3.9594530,1.3972558,-0.4931870,-1.4313121,0.2931662,5.7711753,-2.8494390,0.1389509,-0.9902993,0.2707158,0.9123204
4.1574257,1.5926755,-0.4599644,-1.3736295,0.2888647,5.6725869,-3.3132067,0.1958866,-0.9806266,0.3415853,0.7859402
4.3553983,1.7851685,-0.4157724,-1.3165771,0.2902473,5.5557532,-3.6334255,0.2515152,-0.9678534,0.4386332,0.6504807
4.5533710,1.9756780,-0.3603260,-1.2583952,0.2958928,5.4247355,-3.8735682,0.3073269,-0.9516040,0.5524989,0.5275011
4.7513436,2.1624920,-0.2938029,-1.1985676,0.3083988,5.2814803,-3.9316887,0.3636415,-0.9315390,0.6858833,0.4077851
4.9493163,2.3449321,-0.2160255,-1.1367361,0.3180189,5.1319880,-4.1354055,0.4206424,-0.9072265,0.8354140,0.3036681
5.1472889,2.5226875,-0.1265582,-1.0718329,0.3326295,4.9699000,-4.2229217,0.4785107,-0.8780817,1.0039659,0.2198556
5.3452616,2.6933235,-0.0259510,-1.0033656,0.3577782,4.7987353,-3.8809588,0.5373370,-0.8433676,1.1329864,0.1528092
5.5432342,2.8551305,0.0855877,-0.9298717,0.3978377,4.6358616,-3.4373816,0.5980186,-0.8014822,1.1218519,0.1134364
5.7412069,3.0102625,0.2115160,-0.8464840,0.4454153,4.4866689,-3.0746518,0.6625031,-0.7490591,1.0938895,0.1000000
5.9391795,3.1527147,0.3497728,-0.7528844,0.4919744,4.3488853,-2.2581049,0.7308884,-0.6824970,1.0690200,0.1000000
6.1371522,3.2794123,0.4983159,-0.6649954,0.3181847,4.2448460,-5.9040611,0.7854218,-0.6189610,1.0428240,0.1232057
6.3351248,3.3984684,0.6555642,-0.6446333,0.0176715,3.9599283,-1.2435720,0.8007419,-0.5990095,0.9660019,0.1632581
6.5330975,3.5138084,0.8166685,-0.5685522,0.7282422,3.8972613,-0.3021858,0.8410437,-0.5409672,0.8401226,0.2068512
6.7310701,3.6071312,0.9899642,-0.4167838,0.7963370,3.8818806,-0.3021858,0.9144622,-0.4046714,0.7598649,0.2446729
6.9290428,3.6731304,1.1774890,-0.2598286,0.7958608,3.8664387,-0.1973860,0.9663817,-0.2571115,0.7513209,0.2709670
7.1270154,3.7089075,1.3714438,-0.1053317,0.7843656,3.8563187,0.0373275,0.9944865,-0.1048644,0.8106023,0.2876113
7.3249881,3.7145326,1.5688678,0.0471844,0.7577750,3.8582345,0.4212652,0.9988746,0.0474299,0.9334711,0.2870303
7.5229607,3.6904026,1.7656905,0.1955481,0.7246488,3.8797901,0.7901671,0.9809581,0.1942193,1.0762299,0.2478096
7.7209334,3.6381028,1.9572009,0.3366268,0.6871436,3.9199024,1.1334683,0.9439702,0.3300306,1.1704825,0.1967937
7.9189060,3.5605607,2.1391700,0.4676643,0.6459977,3.9767356,1.4667823,0.8926259,0.4507981,1.2045105,0.1660073
8.1168787,3.4600575,2.3107413,0.5905508,0.5992077,4.0490976,1.8470951,0.8304706,0.5570624,1.2839121,0.1205049
8.3148513,3.3393829,2.4696641,0.7066400,0.5551132,4.1384224,2.1493853,0.7604658,0.6493780,1.3653546,0.1032065
8.5128240,3.2025880,2.6134236,0.8128684,0.5003465,4.2399975,2.6444679,0.6877183,0.7259776,1.4373830,0.1183439
8.7107966,3.0533995,2.7423926,0.8990180,0.3808896,4.3617249,4.3722010,0.6221457,0.7829014,1.5017364,0.1271005
8.9087693,2.8952643,2.8599580,0.9588573,0.2274852,4.5558530,4.8837741,0.5746093,0.8184279,1.5449570,0.1404863
