s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,normals_x,normals_y,track_width_left,track_width_right
0.0000000,2.2281626,-2.2429525,-2.2802645,0.1118274,7.3299987,-5.4077318,-0.6515274,-0.7586251,0.7470984,2.8227869
0.4929361,2.6121985,-2.5524317,-2.2142824,0.1562643,6.9568346,-4.4418405,-0.5998214,-0.8001339,1.2629203,2.2938489
0.9858722,3.0192609,-2.8317917,-2.1274352,0.1917578,6.6346410,-3.9484856,-0.5283072,-0.8490533,1.7481481,1.7645577
1.4788083,3.4507323,-3.0711575,-2.0245445,0.2207105,6.3344896,-3.7834761,-0.4386648,-0.8986508,2.4290102,1.0941664
1.9717444,3.9035146,-3.2615072,-1.9109419,0.2458086,6.0328878,-3.7315808,-0.3335542,-0.9427309,3.1369824,0.5952257
2.4646805,4.3816739,-3.3979638,-1.7851565,0.2656531,5.7198665,-2.9949704,-0.2125260,-0.9771554,3.5031609,0.3040608
2.9576167,4.8754645,-3.4696728,-1.6406859,0.3225990,5.4556590,-0.5853044,-0.0701868,-0.9975339,3.4247945,0.1420997
3.4505528,5.3681395,-3.4596305,-1.4530267,0.4111394,5.4025160,-0.5853044,0.1250391,-0.9921518,3.1995360,0.1041442
3.9434889,5.8431302,-3.3556974,-1.2764205,0.2002923,5.3488451,-1.4282561,0.2738954,-0.9617595,3.1421050,0.1245202
4.4364250,6.2999876,-3.2014059,-1.1923801,0.3577708,5.2155600,-0.5349205,0.3783447,-0.9256648,3.1541316,0.1586774
4.9293611,6.7297980,-2.9792821,-0.9882177,0.4498644,5.1647558,-0.5349205,0.5472581,-0.8369639,3.2260616,0.1092558
5.4222972,7.1096181,-2.6668038,-0.7823922,0.3885404,5.1134469,1.3163569,0.7103683,-0.7038301,3.4017967,0.3180876
5.9152333,7.4245279,-2.2841361,-0.5987415,0.3461309,5.2388071,1.9500346,0.8258156,-0.5639402,3.4090485,0.5485211
6.4081694,7.6685799,-1.8515990,-0.4295730,0.3331721,5.4191867,1.6266171,0.9091299,-0.4165127,3.2250958,0.8012804
6.9011055,7.8373140,-1.3850272,-0.2641739,0.3324491,5.5651793,1.0825651,0.9652162,-0.2614532,2.9823207,1.1157241
7.3940416,7.9270963,-0.9008985,-0.1031595,0.3250019,5.6602554,0.9449455,0.9947209,-0.1026174,2.8309523,1.4677875
7.8869778,7.9388699,-0.4089816,0.0537441,0.3094901,5.7419585,1.1349198,0.9985501,0.0538296,2.8505156,1.8110979
8.3799139,7.8752176,0.0806288,0.2034680,0.2916801,5.8385763,1.3733224,0.9794383,0.2017441,3.0194698,2.1679412
8.8728500,7.7419996,0.5555339,0.3418707,0.2718393,5.9533934,1.6544763,0.9421105,0.3353026,2.8706852,2.4095530
9.3657861,7.5468713,1.0089904,0.4684181,0.2426135,6.0888419,2.2618864,0.8921981,0.4516442,2.7620318,2.5347674
9.8587222,7.2980886,1.4368502,0.5827136,0.2162605,6.2692844,2.7119330,0.8350530,0.5501695,2.7582030,2.5189072
10.3516583,7.0066781,1.8333663,0.6828046,0.1895658,6.4790081,3.2006985,0.7758171,0.6309579,2.8732333,2.3915870
10.8445944,6.6798149,2.2012812,0.7667844,0.1508604,6.7181118,4.2861393,0.7201690,0.6937987,2.9864575,2.1675118
11.3375305,6.3238324,2.5467536,0.8296731,0.0986590,7.0255684,4.3101883,0.6747434,0.7380524,3.1019062,1.8829385
11.8304666,5.9556864,2.8713190,0.8607503,0.0237929,7.3217420,4.2249751,0.6534822,0.7569418,3.2512846,1.5728695
12.3234027,5.5875938,3.1872684,0.8629861,0.0282052,7.6008678,-1.6854078,0.6490272,0.7607652,3.2787327,1.2145969
12.8163389,5.2123566,3.5003622,0.8938905,0.1041009,7.4907673,-4.7167527,0.6261937,0.7796676,3.2707964,0.7625436
13.3092750,4.8145296,3.7997026,0.9624515,0.1615816,7.1736657,-4.0377819,0.5718729,0.8203422,2.7186142,0.7713473
13.8022111,4.3991516,4.0638705,1.0483898,0.1877471,6.8906272,-3.7198452,0.4988207,0.8667052,2.2459629,0.9951738
