# x_m,y_m,w_tr_right_m,w_tr_left_m
2.8490,-1.3380,1.8561,1.8561
2.8490,-1.3880,1.8527,1.8527
2.8990,-1.4380,1.8822,1.8822
2.8990,-1.4880,1.8927,1.8927
2.8990,-1.5380,1.9000,1.9000
2.8990,-1.5880,1.8974,1.8974
2.9490,-1.6380,1.8668,1.8668
2.9490,-1.6880,1.8742,1.8742
2.9490,-1.7380,1.8828,1.8828
2.9490,-1.7880,1.8822,1.8822
2.9490,-1.8380,1.8682,1.8682
2.9490,-1.8880,1.8554,1.8554
2.9990,-1.9380,1.8742,1.8742
2.9990,-1.9880,1.8828,1.8828
2.9990,-2.0380,1.8742,1.8742
2.9990,-2.0880,1.8668,1.8668
2.9990,-2.1380,1.8608,1.8608
3.0490,-2.1880,1.8742,1.8742
3.0490,-2.2380,1.8828,1.8828
3.0490,-2.2880,1.8828,1.8828
3.0490,-2.3380,1.8742,1.8742
3.0490,-2.3880,1.8668,1.8668
3.0490,-2.4380,1.8554,1.8554
3.0990,-2.4880,1.8828,1.8828
3.0990,-2.5380,1.8828,1.8828
3.0990,-2.5880,1.8742,1.8742
3.0990,-2.6380,1.8668,1.8668
3.0990,-2.6880,1.8608,1.8608
3.0990,-2.7380,1.8554,1.8554
3.1490,-2.7880,1.8927,1.8927
3.1490,-2.8380,1.8828,1.8828
3.1990,-2.8880,1.8668,1.8668
3.1990,-2.9380,1.8742,1.8742
3.1990,-2.9880,1.8828,1.8828
3.1990,-3.0380,1.8927,1.8927
3.2490,-3.0880,1.8500,1.8500
3.2490,-3.1380,1.8500,1.8500
3.2490,-3.1880,1.8500,1.8500
3.2490,-3.2380,1.8507,1.8507
3.2490,-3.2880,1.8527,1.8527
3.2490,-3.3380,1.8554,1.8554
3.2490,-3.3880,1.8439,1.8439
3.2490,-3.4380,1.8337,1.8337
3.2490,-3.4880,1.8248,1.8248
3.2490,-3.5380,1.8173,1.8173
3.2990,-3.5880,1.8439,1.8439
3.2990,-3.6380,1.8554,1.8554
3.2990,-3.6880,1.8527,1.8527
3.2990,-3.7380,1.8507,1.8507
3.2990,-3.7880,1.8500,1.8500
3.2990,-3.8380,1.8500,1.8500
3.3490,-3.8880,1.8848,1.8848
3.3490,-3.9380,1.8828,1.8828
3.3490,-3.9880,1.8742,1.8742
3.3490,-4.0380,1.8668,1.8668
3.3490,-4.0880,1.8554,1.8554
3.3990,-4.1380,1.8927,1.8927
3.3990,-4.1880,1.8828,1.8828
3.3990,-4.2380,1.8742,1.8742
3.3990,-4.2880,1.8668,1.8668
3.4490,-4.3380,1.9105,1.9105
3.4490,-4.3880,1.9039,1.9039
3.4990,-4.4380,1.9416,1.9416
3.4990,-4.4880,1.9320,1.9320
3.5490,-4.5380,1.9729,1.9729
3.5490,-4.5880,1.9647,1.9647
3.5990,-4.6380,2.0012,2.0012
3.6490,-4.6880,2.0396,2.0396
3.6990,-4.7380,2.0555,2.0555
3.7490,-4.7880,2.0248,2.0248
3.7990,-4.8380,1.9962,1.9962
3.8490,-4.8380,2.0156,2.0156
3.8990,-4.8880,1.9906,1.9906
3.9490,-4.8880,2.0125,2.0125
3.9990,-4.8880,2.0248,2.0248
4.0490,-4.9380,2.0125,2.0125
4.0990,-4.9380,2.0156,2.0156
4.1490,-4.9880,1.9962,1.9962
4.1990,-4.9880,1.9780,1.9780
4.2490,-4.9880,1.9609,1.9609
4.2990,-4.9880,1.9449,1.9449
4.3490,-4.9880,1.9300,1.9300
4.3990,-4.9880,1.9164,1.9164
4.4490,-4.9880,1.9039,1.9039
4.4990,-4.9880,1.8927,1.8927
4.5490,-4.9880,1.8822,1.8822
4.5990,-4.9880,1.8682,1.8682
4.6490,-4.9880,1.8554,1.8554
4.6990,-4.9880,1.8439,1.8439
4.7490,-4.9880,1.8337,1.8337
4.7990,-4.9880,1.8248,1.8248
4.8490,-4.9880,1.8173,1.8173
4.8990,-4.9880,1.8111,1.8111
4.9490,-4.9880,1.8062,1.8062
4.9990,-4.9880,1.7951,1.7951
5.0490,-4.9380,1.7507,1.7507
5.0990,-4.9380,1.7500,1.7500
5.1490,-4.9380,1.7500,1.7500
5.1990,-4.9380,1.7500,1.7500
5.2490,-4.9380,1.7507,1.7507
5.2990,-4.9380,1.7529,1.7529
5.3490,-4.9380,1.7564,1.7564
5.3990,-4.8880,1.7117,1.7117
5.4490,-4.8880,1.7183,1.7183
5.4990,-4.8880,1.7263,1.7263
5.5490,-4.8880,1.7357,1.7357
5.5990,-4.8880,1.7464,1.7464
5.6490,-4.8880,1.7357,1.7357
5.6990,-4.8880,1.7263,1.7263
5.7490,-4.8880,1.7183,1.7183
5.7990,-4.8880,1.7117,1.7117
5.8490,-4.8380,1.7564,1.7564
5.8990,-4.8380,1.7529,1.7529
5.9490,-4.8380,1.7507,1.7507
5.9990,-4.8380,1.7464,1.7464
6.0490,-4.8380,1.7357,1.7357
6.0990,-4.8380,1.7263,1.7263
6.1490,-4.8380,1.7183,1.7183
6.1990,-4.7880,1.7614,1.7614
6.2490,-4.7880,1.7564,1.7564
6.2990,-4.7880,1.7529,1.7529
6.3490,-4.7880,1.7507,1.7507
6.3990,-4.7880,1.7464,1.7464
6.4490,-4.7380,1.7847,1.7847
6.4990,-4.7380,1.7755,1.7755
6.5490,-4.7380,1.7678,1.7678
6.5990,-4.6880,1.8069,1.8069
6.6490,-4.6880,1.7951,1.7951
